"featured","price","id","category","description","details","image_url","name","stock"
True,"59.99","89","Racing","The ultimate driver journey continues.","{""dev"": ""Slightly Mad"", ""gpu"": ""GTX 1080""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/378860/header.jpg","Project CARS 2",0
True,"19.99","90","Racing","Legendary driving physics.","{""dev"": ""Kunos"", ""ram"": ""8GB""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/244210/header.jpg","Assetto Corsa",0
True,"49.99","95","Racing","Celebrate 50 years of the championship.","{""dev"": ""KT Racing"", ""gpu"": ""GTX 1070""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1462810/header.jpg","WRC 10",0
True,"29.99","82","Simulation","Take on the role of a modern farmer.","{""dev"": ""Giants"", ""gpu"": ""GTX 1060""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1248130/header.jpg","Farming Simulator 22",0
True,"29.99","121","Indie","Play as Hornet, Princess-Protector of Hallownest, in a whole new kingdom.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1030300/header.jpg","Hollow Knight: Silksong",100
True,"14.99","122","Indie","A poker-themed roguelike deck builder that is dangerously addictive.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2379780/header.jpg","Balatro",100
True,"29.99","125","Indie","The first-ever sequel from Supergiant Games builds on the best aspects of the original god-like rogue-like.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1145350/header.jpg","Hades II",100
False,"59.99","124","Action","A fast-paced action game featuring a deep, dark art style and intense martial arts combat.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2421300/header.jpg","Phantom Blade Zero",50
True,"59.99","127","Action","Embody the superhuman skill and brutality of a Space Marine, the greatest of the Emperor’s warriors.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2183900/header.jpg","Warhammer 40,000: Space Marine 2",60
True,"69.99","123","RPG","The next generation of the industry-defining action RPG. Hunt massive monsters in a living ecosystem.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2246340/header.jpg","Monster Hunter Wilds",50
True,"44.99","111","Racing","A new era of driving simulation with incredible physics and car culture.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3058630/header.jpg","Assetto Corsa EVO",100
False,"34.99","113","Racing","Master the art of drifting on the narrow, winding roads of Japan.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1153410/header.jpg","JDM: Japanese Drift Master",100
True,"59.99","112","Arcade","Explore the vibrant open world landscapes of Mexico in the world’s greatest cars.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1551360/header.jpg","Forza Horizon 5",100
False,"49.99","106","Simulation","Build your farm across North America, Europe, or East Asia with 400+ machines.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2301650/header.jpg","Farming Simulator 25",100
False,"29.99","107","Simulation","Manage your own museum, send experts on expeditions, and display prehistoric fossils.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2503350/header.jpg","Two Point Museum",100
True,"69.99","115","Shooter","A spy thriller set in the early 90s, a period of transition in global politics.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2933620/header.jpg","Call of Duty: Black Ops 6",100
True,"15.99","69","Racing","The premier e-sports racing simulation.","{""dev"": ""iRacing.com"", ""ram"": ""16GB""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/266410/header.jpg","iRacing",0
True,"59.99","57","Racing","Drive the 2023 cars with the official F1 lineup.","{""dev"": ""Codemasters"", ""gpu"": ""RTX 3070""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2108330/header.jpg","F1 23",0
True,"19.99","59","Racing","Carve your way through iconic rally locations.","{""dev"": ""Codemasters"", ""gpu"": ""GTX 1060""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/690790/header.jpg","DiRT Rally 2.0",0
True,"39.99","64","Racing","Comprehensive simulation of the Brazilian motorsports scene.","{""dev"": ""Reiza Studios"", ""gpu"": ""GTX 1070""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1066890/header.jpg","Automobilista 2",0
True,"39.99","70","Racing","The most complete, realistic rally simulation.","{""dev"": ""KT Racing"", ""gpu"": ""RTX 3060""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1953520/header.jpg","WRC Generations",0
True,"59.99","71","Racing","Rev your engine and get ready to hit the track.","{""dev"": ""Milestone"", ""gpu"": ""RTX 2070""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1650010/header.jpg","Ride 5",0
True,"31.99","73","Racing","A realistic, easily extendable racing simulation.","{""dev"": ""Studio 397"", ""gpu"": ""GTX 1070""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/365960/header.jpg","rFactor 2",0
True,"49.99","72","Racing","The official game of the MotoGP World Championship.","{""dev"": ""Milestone"", ""gpu"": ""RTX 2060""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2581700/header.jpg","MotoGP 24",0
True,"49.99","96","Racing","Enter the new era of Formula 1.","{""dev"": ""Codemasters"", ""gpu"": ""RTX 3060""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1692250/header.jpg","F1 22",0
True,"69.99","51","Arcade","Race against time, outsmart the cops.","{""dev"": ""Criterion"", ""gpu"": ""RTX 3060""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1846380/header.jpg","Need for Speed Unbound",0
True,"24.99","53","Arcade","Feel the thrill of the chase and the rush of the escape.","{""dev"": ""Stellar"", ""gpu"": ""GTX 660""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1328660/header.jpg","NFS Hot Pursuit Remastered",0
True,"59.99","55","Arcade","Dynamic seasons change everything.","{""dev"": ""Playground"", ""ram"": ""12GB""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1293830/header.jpg","Forza Horizon 4",0
True,"69.99","60","Arcade","Join the ultimate motor celebration.","{""dev"": ""Ubisoft"", ""gpu"": ""RTX 2070""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2698940/header.jpg","The Crew Motorfest",0
True,"19.99","62","Arcade","The ultimate driving playground.","{""dev"": ""Stellar"", ""gpu"": ""GTX 650""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1238080/header.jpg","Burnout Paradise Remastered",0
True,"59.99","63","Arcade","High-stakes wheel-to-wheel racing.","{""dev"": ""Codemasters"", ""gpu"": ""RTX 2060""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1307710/header.jpg","Grid Legends",0
True,"29.99","68","Arcade","Break the rules and take full-contact racing to the limit.","{""dev"": ""Bugbear"", ""gpu"": ""GTX 960""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/228380/header.jpg","Wreckfest",0
True,"39.99","76","Arcade","The biggest epic off-road rally adventure.","{""dev"": ""Saber Porto"", ""gpu"": ""RTX 2060""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1839940/header.jpg","Dakar Desert Rally",0
True,"19.99","78","Arcade","Racing, building, and competing.","{""dev"": ""Ubisoft"", ""gpu"": ""GTX 1060""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2225070/header.jpg","Trackmania",0
True,"49.99","79","Arcade","Collect the best vehicles in the Hot Wheels universe.","{""dev"": ""Milestone"", ""gpu"": ""GTX 1050""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1271700/header.jpg","Hot Wheels Unleashed",0
True,"59.99","54","Arcade","Your ultimate Horizon adventure awaits.","{""dev"": ""Playground"", ""ram"": ""16GB""}","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1551360/header.jpg","Forza Horizon 5",0
True,"24.99","65","Simulation","A dynamic soft-body physics vehicle simulator.","{""dev"": ""BeamNG"", ""ram"": ""16GB""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/284160/header.jpg","BeamNG.drive",0
True,"19.99","66","Simulation","Travel across Europe as king of the road.","{""dev"": ""SCS Software"", ""gpu"": ""GTX 760""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/227300/header.jpg","Euro Truck Simulator 2",0
True,"19.99","67","Simulation","Experience legendary American trucks and deliver cargo.","{""dev"": ""SCS Software"", ""gpu"": ""GTX 760""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/270880/header.jpg","American Truck Simulator",0
True,"29.99","74","Simulation","Prepare for the next-generation off-road experience.","{""dev"": ""Saber"", ""gpu"": ""GTX 1060""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1465360/header.jpg","SnowRunner",0
True,"24.99","75","Simulation","The ultimate off-road challenge.","{""dev"": ""Saber"", ""gpu"": ""GTX 960""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/675010/header.jpg","MudRunner",0
True,"24.99","80","Simulation","Build your service empire.","{""dev"": ""Red Dot"", ""gpu"": ""GTX 1060""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1190000/header.jpg","Car Mechanic Simulator 2021",0
True,"34.99","83","Simulation","Experience the daily life of a bus driver.","{""dev"": ""stillalive"", ""gpu"": ""GTX 1060""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/976590/header.jpg","Bus Simulator 21",0
True,"44.99","84","Simulation","Feel the power of simulation in your hands.","{""dev"": ""Dovetail"", ""gpu"": ""RTX 2060""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2362300/header.jpg","Train Sim World 4",0
True,"34.99","85","Simulation","Get back to work with a massive vehicle fleet.","{""dev"": ""weltenbauer"", ""gpu"": ""GTX 1070""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1273400/header.jpg","Construction Simulator",0
True,"19.99","86","Simulation","Buy an abandoned gas station and restore it.","{""dev"": ""DRAGO"", ""gpu"": ""GTX 1060""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1149620/header.jpg","Gas Station Simulator",0
True,"14.99","88","Simulation","Build and maintain your car in the Finnish winter.","{""dev"": ""Amistech"", ""gpu"": ""GTX 960""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/516750/header.jpg","My Summer Car",0
True,"14.99","91","Simulation","Become a taxi driver and experience for yourself.","{""dev"": ""Woodland Games"", ""gpu"": ""GTX 1050""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1711120/header.jpg","Taxi Simulator",0
True,"19.99","77","Indie","The most authentic kart racing simulator.","{""dev"": ""Motorsport Games"", ""gpu"": ""GTX 1060""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/406350/header.jpg","KartKraft",0
True,"24.99","94","Indie","Race in the golden era of rally.","{""dev"": ""Funselektor"", ""gpu"": ""GTX 1050""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/550320/header.jpg","Art of Rally",0
False,"29.99","101","Indie","Battle beyond the Underworld using dark sorcery to take on the Titan of Time.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1145350/header.jpg","Hades II",100
True,"59.99","99","Action","An action RPG rooted in Chinese mythology based on Journey to the West.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2358720/header.jpg","Black Myth: Wukong",100
True,"39.99","102","RPG","The massive expansion to the 2022 Game of the Year, featuring the Land of Shadow.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1245620/header.jpg","Elden Ring: Shadow of the Erdtree",100
True,"59.99","132","RPG","Enter the world of Thedas, a vibrant land of rugged wilderness, treacherous labyrinths, and glittering cities.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1845910/header.jpg","Dragon Age: The Veilguard",75
False,"59.99","134","RPG","Engage in real-time combat with a party of four in this character-driven action RPG set in the Sky Realm.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/881020/header.jpg","Granblue Fantasy: Relink",30
True,"59.99","126","Shooter","Explore the massive Chornobyl Exclusion Zone full of dangerous enemies and deadly anomalies.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1643320/header.jpg","S.T.A.L.K.E.R. 2: Heart of Chornobyl",80
False,"0","128","Shooter","A free-to-play tactical shooter featuring iconic large-scale multiplayer and a cinematic campaign.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2507950/header.jpg","Delta Force",999
True,"69.99","129","Horror","Having received a letter from his deceased wife, James returns to the place where they made so many memories.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2124490/header.jpg","Silent Hill 2",40
False,"39.99","130","Horror","A cinematic horror game set in the world of Dead by Daylight, developed by Supermassive Games.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2223840/header.jpg","The Casting of Frank Stone",70
False,"59.99","131","Horror","Rebuilt and enhanced for PC, this seminal horror classic follows eight friends trapped on a mountain.",NULL,"https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2172010/header.jpg","Until Dawn",55
True,"69.99","105","Simulation","The most realistic flight sim ever made, featuring worldwide aviation careers.","{""dev"": ""Microsoft"", ""gpu"": ""RTX 3070""}","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2537590/header.jpg","Microsoft Flight Simulator 2024",100
